,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
299,guitar hero iii legends of rock,Misc,T,X360,RedOctane,8.7,4.53,3.19,0.91,0.01,0.42,2007.0
309,madden nfl 07,Sports,E,PS2,EA Sports,8.5,4.49,3.63,0.24,0.01,0.61,2006.0
310,spider man the movie,Action,E,PS2,Activision,8.2,4.48,2.71,1.51,0.03,0.23,2002.0
312,the elder scrolls iv oblivion,Role Playing,M,X360,Take Two Interactive,9.2,4.47,2.89,1.03,0.13,0.41,2009.0
314,tony hawks pro skater 3,Sports,T,PS2,Activision,9.1,4.41,2.66,1.29,0.01,0.46,2001.0
315,winning eleven pro evolution soccer 2007,Sports,E,PS2,Konami,8.8,4.39,0.1,2.39,1.05,0.86,2007.0
317,michael jackson the experience,Misc,E10,Wii,Ubisoft,5.6,4.37,2.64,1.33,0.01,0.39,2010.0
319,need for speed most wanted,Racing,T,PS2,Electronic Arts,8.6,4.37,2.03,1.79,0.08,0.47,2005.0
320,resistance fall of man,Shooter,M,PS3,Sony Computer Entertainment,8.5,4.37,1.74,1.72,0.14,0.76,2006.0
322,call of duty advanced warfare,Shooter,M,X360,Activision,9.1,4.34,2.81,1.13,0.0,0.41,2014.0
329,batman arkham asylum,Action,T,PS3,Eidos Interactive,9.0,4.28,2.26,1.33,0.07,0.63,2009.0
330,call of duty advanced warfare,Shooter,M,PS3,Activision,9.1,4.27,1.59,1.81,0.2,0.67,2014.0
335,assassins creed revelations,Action,M,PS3,Ubisoft,8.8,4.23,1.41,2.03,0.1,0.69,2011.0
336,metal gear solid 3 snake eater,Action,M,PS2,Konami,9.0,4.23,1.46,0.0,0.83,1.93,2004.0
337,assassins creed revelations,Action,M,X360,Ubisoft,7.9,4.22,2.28,1.47,0.04,0.44,2011.0
338,fifa soccer 06,Sports,E,PS2,EA Sports,8.4,4.21,0.78,2.55,0.04,0.84,2005.0
340,street fighter iv,Fighting,T,PS3,Capcom,9.3,4.19,2.04,1.05,0.59,0.52,2009.0
342,fifa soccer 12,Sports,E,X360,EA Sports,9.2,4.18,0.85,2.79,0.02,0.52,2011.0
343,call of duty ghosts,Shooter,M,PS4,Activision,7.5,4.17,1.79,1.64,0.05,0.69,2013.0
348,star wars battlefront 2015,Shooter,T,XOne,Electronic Arts,6.9,4.15,2.49,1.26,0.02,0.38,2015.0
350,madden nfl 2003,Sports,E,PS2,EA Sports,9.4,4.14,3.36,0.21,0.01,0.56,2002.0
355,batman arkham knight,Action,M,PS4,Warner Bros. Interactive,8.1,4.11,1.65,1.68,0.11,0.66,2015.0
356,fifa 07 soccer,Sports,E,PS2,EA Sports,8.4,4.11,0.71,2.48,0.03,0.89,2006.0
360,fallout new vegas,Role Playing,M,X360,Bethesda Softworks,8.2,4.08,2.67,1.03,0.04,0.34,2010.0
362,far cry 4,Shooter,M,PS4,Ubisoft,8.4,4.06,1.18,2.14,0.11,0.63,2014.0
363,carnival games,Misc,E,Wii,Global Star Software,4.2,4.06,2.12,1.47,0.05,0.42,2007.0
364,world soccer winning eleven 9,Sports,E,PS2,Konami,8.9,4.06,0.12,2.26,0.9,0.77,2006.0
365,forza motorsport 2,Racing,E,X360,Microsoft Game Studios,9.1,4.05,2.35,1.27,0.03,0.41,2007.0
367,tekken tag tournament,Fighting,T,PS2,Namco,8.7,4.05,1.68,1.51,0.51,0.35,2000.0
376,fallout 3,Role Playing,M,PS3,Bethesda Softworks,8.8,4.0,2.18,1.15,0.07,0.61,2008.0
380,nba 2k16,Sports,E10,PS4,2K Sports,8.7,3.98,2.56,0.66,0.05,0.71,2015.0
381,left 4 dead 2,Shooter,M,X360,Electronic Arts,9.0,3.97,2.67,0.88,0.05,0.38,2009.0
382,far cry 5,Action,M,PS4,Ubisoft,7.9,3.95,1.44,1.73,0.15,0.62,2018.0
383,battlefield 4,Shooter,M,PS4,Electronic Arts,8.3,3.94,1.4,1.74,0.19,0.62,2013.0
384,assassins creed iv black flag,Action Adventure,M,PS3,Ubisoft,8.7,3.94,1.34,1.86,0.13,0.62,2013.0
385,ea sports active,Sports,E,Wii,EA Sports,8.3,3.93,2.11,1.35,0.06,0.4,2009.0
390,tony hawks underground,Sports,T,PS2,Activision,8.7,3.9,2.29,1.17,0.01,0.42,2003.0
393,sports champions,Sports,E10,PS3,Sony Computer Entertainment,7.6,3.88,2.15,1.13,0.1,0.5,2010.0
394,motorstorm,Racing,T,PS3,Sony Computer Entertainment,8.2,3.87,1.53,1.61,0.06,0.67,2007.0
395,world soccer winning eleven 8 international,Sports,E,PS2,Konami,9.3,3.85,0.16,1.89,1.12,0.68,2005.0
404,ratchet amp clank size matters,Platform,E10,PSP,Sony Computer Entertainment,8.5,3.75,1.4,1.4,0.1,0.86,2007.0
405,harry potter and the sorcerers stone,Action,E,PS,Electronic Arts,8.0,3.73,1.37,2.0,0.14,0.22,2001.0
410,fifa soccer 2005,Sports,E,PS2,EA Sports,8.4,3.7,0.58,2.48,0.04,0.59,2004.0
413,tony hawks pro skater 4,Sports,T,PS2,Activision,9.6,3.67,2.13,1.18,0.01,0.35,2002.0
415,mysims,Simulation,E,DS,Electronic Arts,6.7,3.66,1.58,1.6,0.08,0.4,2007.0
417,socom us navy seals,Shooter,M,PS2,Sony Computer Entertainment,8.0,3.65,2.53,0.81,0.06,0.24,2002.0
418,battlefield 4,Shooter,M,PS3,Electronic Arts,8.7,3.64,1.31,1.5,0.27,0.55,2013.0
419,jak and daxter the precursor legacy,Platform,E,PS2,Sony Computer Entertainment,9.0,3.64,2.08,1.09,0.15,0.33,2001.0
421,pro evolution soccer 2008,Sports,E,PS2,Konami,8.2,3.63,0.05,0.0,0.64,2.93,2008.0
422,fifa soccer 10,Sports,E,PS3,EA Sports,9.0,3.63,0.6,2.46,0.05,0.52,2009.0
425,star wars battlefront,Shooter,T,PS2,LucasArts,8.1,3.61,1.93,1.22,0.03,0.44,2004.0
