,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
2263,mercenaries 2 world in flames,Shooter,T,X360,Electronic Arts,7.1,1.06,0.65,0.3,0.01,0.1,2008.0
2266,call of duty 4 modern warfare,Shooter,T,DS,Activision,7.3,1.05,0.95,0.02,0.01,0.08,2007.0
2268,resident evil the darkside chronicles,Shooter,M,Wii,Capcom,7.2,1.05,0.46,0.31,0.2,0.09,2009.0
2276,mysims agents,Adventure,E,Wii,Electronic Arts,7.5,1.05,0.63,0.32,0.0,0.1,2009.0
2293,rocksmith 2014,Music,T,PS3,Ubisoft,9.1,1.05,0.56,0.26,0.05,0.17,2013.0
2299,wwe smackdown vs raw 2010,Fighting,T,X360,THQ,8.2,1.04,0.56,0.37,0.01,0.1,2009.0
2300,sleeping dogs,Action Adventure,M,PS3,Square Enix,8.1,1.04,0.31,0.5,0.05,0.17,2012.0
2301,tales of destiny,Role Playing,T,PS,Namco,6.2,1.04,0.09,0.06,0.83,0.07,1998.0
2307,naruto clash of ninja 2,Fighting,T,GC,D3 Publisher,7.4,1.04,0.44,0.12,0.45,0.03,2006.0
2309,bomberman 64,Puzzle,E,N64,Hudson Soft,6.1,1.04,0.5,0.2,0.31,0.03,1997.0
2318,motorstorm arctic edge,Racing,T,PSP,Sony Computer Entertainment,7.7,1.04,0.16,0.58,0.0,0.3,2009.0
2319,brink,Shooter,T,X360,Bethesda Softworks,6.8,1.04,0.59,0.35,0.01,0.09,2011.0
2340,sonic unleashed,Platform,E10,PS3,Sega,5.3,1.03,0.56,0.32,0.01,0.14,2008.0
2342,dragon ball z budokai tenkaichi 3,Fighting,T,Wii,Atari,7.5,1.03,0.32,0.36,0.26,0.08,2007.0
2349,shrek 2,Platform,E,GC,Activision,6.9,1.02,0.73,0.26,0.01,0.03,2004.0
2351,bulletstorm,Shooter,M,X360,Electronic Arts,8.5,1.02,0.61,0.32,0.01,0.08,2011.0
2367,f1 2012,Racing,E,PS3,Codemasters,7.9,1.01,0.12,0.65,0.05,0.18,2012.0
2368,eyepet,Simulation,E,PS3,Sony Computer Entertainment,6.9,1.01,0.37,0.52,0.04,0.09,2010.0
2378,prince of persia,Adventure,T,X360,Ubisoft,8.2,1.01,0.54,0.34,0.02,0.1,2008.0
2381,nba 2k10,Sports,E,X360,2K Sports,8.4,1.01,0.91,0.02,0.0,0.08,2009.0
2386,breath of fire iii,Role Playing,T,PS,Capcom,7.6,1.0,0.29,0.19,0.46,0.07,1998.0
2388,rayman origins,Platform,E10,PS3,Ubisoft,8.5,1.0,0.33,0.5,0.01,0.16,2011.0
2401,excitebike 64,Racing,E,N64,Nintendo,8.9,1.0,0.65,0.15,0.19,0.01,2000.0
2434,tom clancys splinter cell blacklist,Action Adventure,M,X360,Ubisoft,8.4,1.0,0.57,0.33,0.01,0.09,2013.0
2441,ace combat x skies of deception,Simulation,T,PSP,Namco Bandai,7.6,1.0,0.37,0.31,0.12,0.19,2006.0
2443,haze,Shooter,M,PS3,Ubisoft,5.6,0.99,0.49,0.33,0.02,0.15,2008.0
2447,dirt 2,Racing,T,PS3,Codemasters,8.8,0.99,0.27,0.53,0.0,0.19,2009.0
2450,apollo justice ace attorney,Adventure,T,DS,Capcom,8.0,0.99,0.28,0.05,0.64,0.03,2008.0
2451,rocksmith 2014,Music,T,X360,Ubisoft,8.4,0.99,0.73,0.16,0.0,0.1,2013.0
2458,army of two the 40th day,Shooter,M,X360,Electronic Arts,7.1,0.99,0.65,0.24,0.0,0.09,2010.0
2462,tom clancys splinter cell blacklist,Action Adventure,M,PS3,Ubisoft,8.3,0.98,0.34,0.44,0.06,0.15,2013.0
2466,pro evolution soccer 2008,Sports,E,PSP,Konami,7.8,0.98,0.02,0.53,0.19,0.25,2008.0
2468,sniper elite v2,Shooter,M,PS3,505 Games,7.4,0.98,0.38,0.4,0.06,0.15,2012.0
2469,zoo tycoon ds,Strategy,E,DS,THQ,4.6,0.98,0.86,0.03,0.01,0.07,2005.0
2477,suikoden iii,Role Playing,T,PS2,Konami,8.6,0.98,0.29,0.23,0.38,0.08,2002.0
2485,fire emblem,Strategy,E,GBA,Nintendo,8.8,0.97,0.49,0.18,0.29,0.01,2003.0
2502,dark cloud 2,Role Playing,T,PS2,Sony Computer Entertainment,8.6,0.96,0.38,0.25,0.26,0.07,2003.0
2508,star fox 64 3d,Shooter,E10,3DS,Nintendo,8.0,0.96,0.48,0.29,0.13,0.07,2011.0
2513,de blob,Platform,E,Wii,THQ,8.1,0.96,0.49,0.37,0.0,0.1,2008.0
2516,pilotwings resort,Simulation,E,3DS,Nintendo,6.9,0.96,0.4,0.36,0.13,0.07,2011.0
2532,harvest moon 3d a new beginning,Simulation,E,3DS,Natsume,8.2,0.95,0.41,0.18,0.31,0.06,2012.0
2535,sonic unleashed,Platform,E10,X360,Sega,5.6,0.95,0.54,0.32,0.0,0.09,2008.0
2544,wild arms,Role Playing,E,PS,Sony Computer Entertainment,8.9,0.95,0.26,0.17,0.46,0.06,1997.0
2548,lost planet 2,Shooter,T,PS3,Capcom,6.6,0.95,0.29,0.34,0.2,0.12,2010.0
2549,driver san francisco,Racing,T,PS3,Ubisoft,8.2,0.95,0.24,0.53,0.01,0.17,2011.0
2553,white knight chronicles international edition,Role Playing,T,PS3,Sony Computer Entertainment,6.3,0.95,0.34,0.16,0.36,0.09,2010.0
2556,disney magic castle my happy life,Simulation,E,3DS,Nintendo,7.9,0.94,0.17,0.2,0.53,0.03,2014.0
2573,saga frontier 2,Role Playing,T,PS,Square EA,7.4,0.94,0.1,0.07,0.71,0.06,2000.0
2590,kingdom hearts recoded,Role Playing,E10,DS,Square Enix,6.8,0.93,0.53,0.09,0.27,0.05,2011.0
2601,bayonetta,Action,M,X360,Sega,8.9,0.93,0.51,0.25,0.09,0.08,2010.0
2606,operation flashpoint dragon rising,Shooter,M,X360,Codemasters,7.4,0.93,0.36,0.45,0.02,0.1,2009.0
2612,phoenix wright ace attorney,Adventure,T,DS,Capcom,8.1,0.93,0.44,0.05,0.39,0.05,2005.0
2620,dantes inferno,Action,M,X360,Electronic Arts,7.0,0.92,0.63,0.2,0.02,0.08,2010.0
2630,xenoblade chronicles,Role Playing,T,Wii,Nintendo,9.3,0.92,0.43,0.25,0.16,0.07,2012.0
2631,crysis 3,Shooter,M,X360,Electronic Arts,7.6,0.92,0.51,0.32,0.01,0.08,2013.0
2635,tobal no1,Fighting,T,PS,Sony Computer Entertainment,7.7,0.92,0.12,0.08,0.66,0.06,1996.0
2636,blue dragon,Role Playing,T,X360,Microsoft Game Studios,7.7,0.92,0.3,0.33,0.21,0.08,2007.0
2639,ea sports grand slam tennis,Sports,E,Wii,EA Sports,7.9,0.92,0.28,0.51,0.02,0.11,2009.0
2641,dynasty warriors 7,Action,T,PS3,Tecmo Koei,5.8,0.91,0.25,0.14,0.46,0.06,2011.0
2644,crysis 3,Shooter,M,PS3,Electronic Arts,8.2,0.91,0.26,0.48,0.03,0.14,2013.0
2646,tom clancys endwar,Strategy,T,X360,Ubisoft,8.0,0.91,0.58,0.24,0.01,0.09,2008.0
2648,sonic riders zero gravity,Racing,E,Wii,Sega,5.8,0.91,0.48,0.32,0.02,0.09,2008.0
2649,colin mcrae rally 20,Racing,E,PS,Codemasters,8.3,0.91,0.02,0.8,0.02,0.07,2000.0
2657,operation flashpoint dragon rising,Shooter,M,PS3,Codemasters,7.3,0.91,0.23,0.46,0.05,0.17,2009.0
2663,homefront,Shooter,M,PS3,THQ,6.6,0.9,0.32,0.4,0.04,0.15,2011.0
2664,lost odyssey,Role Playing,T,X360,Microsoft Game Studios,7.5,0.9,0.45,0.26,0.11,0.08,2008.0
2671,socom 4 us navy seals,Shooter,M,PS3,Sony Computer Entertainment,7.0,0.9,0.66,0.12,0.04,0.09,2011.0
2679,resistance retribution,Shooter,M,PSP,Sony Computer Entertainment,8.0,0.9,0.27,0.36,0.05,0.22,2009.0
2683,spider man 3,Platform,T,PS2,Activision,4.4,0.9,0.74,0.03,0.01,0.12,2007.0
2697,castlevania circle of the moon,Platform,T,GBA,Konami,8.9,0.89,0.6,0.22,0.05,0.02,2001.0
2698,pure,Racing,E,PS3,Disney Interactive Studios,7.0,0.89,0.42,0.33,0.0,0.14,2008.0
2699,ni no kuni ii revenant kingdom,Role Playing,T,PS4,Namco Bandai Games,8.7,0.89,0.33,0.31,0.12,0.13,2018.0
2702,fire emblem the sacred stones,Strategy,E,GBA,Nintendo,8.4,0.89,0.42,0.16,0.3,0.02,2005.0
2710,ace combat 2,Simulation,T,PS,Namco,8.5,0.89,0.16,0.11,0.56,0.06,1997.0
2711,dissidia 012 duodecim final fantasy,Fighting,T,PSP,Square Enix,8.3,0.89,0.21,0.13,0.46,0.09,2011.0
2713,resident evil revelations,Action,M,3DS,Capcom,7.8,0.89,0.3,0.23,0.3,0.05,2012.0
2721,samba de amigo,Misc,E,Wii,Sega,6.7,0.89,0.41,0.37,0.01,0.09,2008.0
2729,f1 2010,Racing,E,X360,Codemasters,8.4,0.88,0.18,0.59,0.01,0.1,2010.0
2730,call of juarez bound in blood,Shooter,M,PS3,Ubisoft,7.7,0.88,0.35,0.38,0.01,0.15,2009.0
2731,the lord of the rings war in the north,Role Playing,M,X360,Warner Bros. Interactive,6.6,0.88,0.55,0.24,0.0,0.08,2011.0
2737,sonic chronicles the dark brotherhood,Role Playing,E,DS,Sega,7.3,0.88,0.5,0.29,0.01,0.08,2008.0
2743,wwe smackdown vs raw 2011,Fighting,T,X360,THQ,7.1,0.88,0.44,0.35,0.0,0.08,2010.0
2746,metal gear acd,Strategy,M,PSP,Konami,7.4,0.87,0.32,0.26,0.12,0.17,2005.0
2753,michael jackson the experience,Misc,E10,X360,Ubisoft,5.6,0.87,0.62,0.18,0.0,0.07,2011.0
2756,sleeping dogs,Action Adventure,M,X360,Square Enix,7.9,0.87,0.38,0.4,0.01,0.08,2012.0
2762,super bomberman r,Puzzle,E10,NS,Konami Digital Entertainment,6.3,0.87,0.31,0.32,0.19,0.06,2017.0
2765,paper mario color splash,Action Adventure,E,WiiU,Nintendo,7.4,0.87,0.35,0.37,0.08,0.06,2016.0
2770,grid,Racing,E,X360,Codemasters,8.7,0.87,0.33,0.44,0.01,0.09,2008.0
2772,red faction guerrilla,Shooter,M,X360,THQ,8.4,0.87,0.48,0.29,0.01,0.09,2009.0
2774,mario party star rush,Party,E,3DS,Nintendo,6.2,0.87,0.25,0.37,0.2,0.05,2016.0
2777,brothers in arms hells highway,Shooter,M,X360,Ubisoft,7.6,0.87,0.47,0.3,0.0,0.09,2008.0
2778,vagrant story,Role Playing,T,PS,Square EA,9.3,0.87,0.3,0.2,0.3,0.06,2000.0
2780,mercenaries 2 world in flames,Shooter,T,PS3,Electronic Arts,6.0,0.87,0.29,0.4,0.02,0.16,2008.0
2785,endless ocean blue world,Simulation,E10,Wii,Nintendo,7.6,0.87,0.46,0.22,0.12,0.06,2010.0
2788,wii fit u,Misc,E,WiiU,Nintendo,7.2,0.86,0.35,0.24,0.21,0.06,2014.0
2791,tales of the abyss,Role Playing,T,3DS,Namco Bandai,7.3,0.86,0.45,0.2,0.15,0.06,2012.0
2794,winning eleven pro evolution soccer 2007,Sports,E,PSP,Konami,8.2,0.86,0.01,0.72,0.12,0.01,2007.0
2806,bayonetta 2,Action,M,WiiU,Nintendo,9.3,0.86,0.37,0.32,0.1,0.06,2014.0
2817,2010 fifa world cup south africa,Sports,E,X360,EA Sports,8.4,0.85,0.32,0.42,0.02,0.09,2010.0
2820,ninja gaiden sigma 2,Action,M,PS3,Tecmo Koei,8.5,0.85,0.52,0.16,0.08,0.1,2009.0
2821,street fighter alpha 2,Fighting,T,PS,Capcom,8.2,0.85,0.14,0.09,0.57,0.06,1996.0
2824,dragon ball z burst limit,Fighting,T,PS3,Atari,7.3,0.85,0.22,0.34,0.18,0.12,2008.0
2826,army of two the 40th day,Shooter,M,PS3,Electronic Arts,7.1,0.85,0.44,0.27,0.01,0.13,2010.0
2838,the house of the dead overkill,Shooter,M,Wii,Sega,7.9,0.85,0.44,0.3,0.02,0.09,2009.0
2840,darksiders ii,Action Adventure,M,PS3,THQ,8.3,0.85,0.35,0.37,0.01,0.13,2012.0
2843,sniper elite v2,Shooter,M,X360,505 Games,7.0,0.84,0.46,0.28,0.02,0.08,2012.0
2844,xenoblade chronicles x,Role Playing,T,WiiU,Nintendo,8.1,0.84,0.34,0.29,0.15,0.06,2015.0
2845,nba 2k10,Sports,E,PS3,2K Sports,8.2,0.84,0.75,0.01,0.01,0.07,2009.0
2848,skate 2,Sports,T,PS3,Electronic Arts,8.2,0.84,0.46,0.25,0.01,0.12,2009.0
2852,zombiu,Action,M,WiiU,Ubisoft,6.9,0.84,0.35,0.37,0.05,0.07,2012.0
2857,rogue galaxy,Role Playing,T,PS2,Sony Computer Entertainment,8.3,0.84,0.24,0.16,0.39,0.05,2007.0
2871,ace combat 3 electrosphere,Simulation,E,PS,Namco,7.6,0.83,0.22,0.15,0.4,0.05,2000.0
2872,time crisis 4,Shooter,T,PS3,Namco Bandai,6.1,0.83,0.32,0.32,0.05,0.14,2007.0
2877,stranglehold,Shooter,M,X360,Midway Games,8.0,0.83,0.41,0.33,0.01,0.09,2007.0
2880,dragon age ii,Role Playing,M,PS3,Electronic Arts,7.7,0.83,0.4,0.26,0.05,0.12,2011.0
2886,sniper ghost warrior,Shooter,M,PS3,City Interactive,4.5,0.83,0.3,0.35,0.04,0.14,2011.0
2893,dragon ball raging blast 2,Fighting,T,PS3,Namco Bandai,6.0,0.83,0.43,0.19,0.11,0.1,2010.0
2898,sid meiers civilization revolution,Strategy,E10,X360,2K Games,8.4,0.83,0.58,0.17,0.0,0.07,2008.0
2918,the lord of the rings war in the north,Role Playing,M,PS3,Warner Bros. Interactive,6.5,0.82,0.25,0.43,0.01,0.12,2011.0
2919,patapon,Platform,E,PSP,Sony Computer Entertainment,8.7,0.82,0.33,0.25,0.07,0.17,2008.0
2920,the crew 2,Racing,T,PS4,Ubisoft,6.5,0.82,0.22,0.42,0.05,0.12,2018.0
2923,shin megami tensei persona 4,Role Playing,M,PS2,Atlus,9.2,0.82,0.34,0.04,0.36,0.08,2008.0
2925,professor layton vs ace attorney,Adventure,T,3DS,Nintendo,8.1,0.82,0.2,0.27,0.3,0.04,2014.0
2932,tales of destiny ii,Role Playing,T,PS,Namco,7.5,0.81,0.06,0.04,0.66,0.05,2001.0
2938,valkyrie profile,Role Playing,T,PS,Enix,8.1,0.81,0.07,0.05,0.63,0.05,2000.0
2939,shaun white snowboarding,Sports,T,X360,Ubisoft,6.2,0.81,0.48,0.25,0.0,0.08,2008.0
2947,pro evolution soccer 2010,Sports,E,X360,Konami,7.0,0.81,0.12,0.58,0.03,0.08,2009.0
2964,golden sun dark dawn,Role Playing,E10,DS,Nintendo,8.0,0.81,0.53,0.1,0.13,0.05,2010.0
2974,dirt 2,Racing,T,X360,Codemasters,8.8,0.8,0.32,0.39,0.0,0.09,2009.0
2980,mario amp sonic at the sochi 2014 olympic winter games,Sports,E,WiiU,Nintendo,5.9,0.8,0.37,0.23,0.14,0.06,2013.0
2988,pes 2009 pro evolution soccer,Sports,E,PSP,Konami,7.3,0.8,0.04,0.33,0.26,0.17,2008.0
3002,dead island riptide,Misc,M,X360,Deep Silver,5.6,0.79,0.44,0.27,0.01,0.07,2013.0
3005,darksiders ii,Action Adventure,M,X360,THQ,8.6,0.79,0.45,0.27,0.0,0.07,2012.0
3016,the godfather ii,Adventure,M,X360,Electronic Arts,6.2,0.79,0.47,0.23,0.01,0.08,2009.0
3021,star ocean the last hope,Role Playing,T,X360,Square Enix,7.3,0.79,0.32,0.2,0.21,0.06,2009.0
3025,madworld,Action,M,Wii,Sega,8.1,0.78,0.45,0.24,0.02,0.07,2009.0
3029,too human,Role Playing,T,X360,Microsoft Game Studios,6.5,0.78,0.38,0.3,0.03,0.08,2008.0
3037,the world ends with you,Role Playing,T,DS,Square Enix,8.6,0.78,0.49,0.04,0.21,0.04,2008.0
3040,naruto shippuden ultimate ninja storm 2,Fighting,T,X360,Namco Bandai,7.6,0.78,0.43,0.27,0.01,0.07,2010.0
3042,tom clancys splinter cell double agent,Action,M,X360,Ubisoft,8.5,0.78,0.67,0.04,0.01,0.06,2006.0
3044,sid meiers civilization revolution,Strategy,E10,PS3,2K Games,8.4,0.78,0.49,0.19,0.01,0.09,2008.0
3054,need for speed prostreet,Racing,E,PSP,Electronic Arts,5.6,0.78,0.24,0.33,0.01,0.19,2008.0
3074,perfect dark zero,Shooter,M,X360,Microsoft Game Studios,8.1,0.77,0.66,0.02,0.03,0.06,2005.0
3079,ghost squad,Shooter,T,Wii,Sega,7.0,0.77,0.42,0.21,0.08,0.07,2007.0
3088,the sims 3,Simulation,T,3DS,Electronic Arts,5.6,0.77,0.3,0.38,0.03,0.07,2011.0
3091,dragon ball raging blast,Fighting,T,PS3,Namco Bandai,5.6,0.77,0.37,0.19,0.11,0.1,2009.0
3092,need for speed undercover,Racing,T,PSP,Electronic Arts,5.4,0.77,0.23,0.32,0.03,0.19,2008.0
3097,donkey kong country 3,Platform,E,GBA,Nintendo,7.5,0.77,0.45,0.17,0.14,0.01,2005.0
3100,unlimited saga,Role Playing,T,PS2,Square Enix,4.9,0.77,0.1,0.08,0.56,0.03,2003.0
3101,pokemon dash,Racing,E,DS,Nintendo,5.3,0.77,0.21,0.14,0.38,0.04,2005.0
3110,resident evil revelations,Action,M,PS3,Capcom,7.6,0.76,0.14,0.32,0.22,0.09,2013.0
3113,banjo kazooie nuts amp bolts,Platform,E10,X360,Microsoft Game Studios,8.0,0.76,0.32,0.35,0.0,0.08,2008.0
3131,pokepark 2 wonders beyond,Action Adventure,E,Wii,Nintendo,6.5,0.76,0.26,0.19,0.27,0.04,2012.0
3135,marvel vs capcom 2,Fighting,T,PS2,Capcom,8.2,0.76,0.31,0.24,0.13,0.08,2002.0
3138,lost planet 2,Shooter,T,X360,Capcom,6.5,0.76,0.38,0.24,0.08,0.06,2010.0
3142,kane amp lynch dead men,Shooter,M,X360,Eidos Interactive,6.8,0.76,0.36,0.31,0.01,0.08,2007.0
3150,lego city undercover,Platform,E10,PS4,Warner Bros. Interactive Entertainment,8.0,0.75,0.17,0.46,0.01,0.12,2017.0
3151,genji days of the blade,Action,T,PS3,Sony Computer Entertainment,5.0,0.75,0.18,0.38,0.06,0.14,2006.0
3156,fire emblem echoes shadows of valentia,Role Playing,T,3DS,Nintendo,8.3,0.75,0.34,0.16,0.21,0.05,2017.0
3163,kane amp lynch dead men,Shooter,M,PS3,Eidos Interactive,6.8,0.75,0.29,0.32,0.01,0.13,2007.0
3169,zone of the enders,Simulation,M,PS2,Konami,7.5,0.75,0.3,0.24,0.13,0.08,2001.0
3176,fifa 19,Sports,E,NS,Electronic Arts,5.9,0.75,0.18,0.47,0.06,0.05,2018.0
3181,capcom vs snk 2 mark of the millennium 2001,Fighting,T,PS2,Capcom,7.9,0.75,0.22,0.17,0.3,0.06,2001.0
3185,final fantasy tactics a2 grimoire of the rift,Role Playing,E10,DS,Square Enix,8.1,0.75,0.38,0.03,0.3,0.04,2008.0
3188,turok,Shooter,M,X360,Touchstone,6.6,0.75,0.46,0.2,0.01,0.07,2008.0
3195,ace combat assault horizon,Action,T,PS3,Namco Bandai,7.5,0.74,0.3,0.16,0.22,0.07,2011.0
3196,the godfather ii,Adventure,M,PS3,Electronic Arts,6.4,0.74,0.41,0.21,0.01,0.1,2009.0
3201,red faction guerrilla,Shooter,M,PS3,THQ,8.6,0.74,0.33,0.27,0.02,0.12,2009.0
3213,tales of vesperia,Role Playing,T,X360,Namco Bandai,8.1,0.74,0.32,0.18,0.19,0.05,2008.0
3214,resonance of fate,Role Playing,T,PS3,Sega,7.5,0.74,0.2,0.22,0.24,0.08,2010.0
3215,sonic forces,Platform,E10,NS,Sega,5.4,0.74,0.39,0.27,0.01,0.06,2017.0
3224,brink,Shooter,T,PS3,Bethesda Softworks,7.1,0.73,0.29,0.32,0.01,0.12,2011.0
3250,star ocean the last hope international,Role Playing,T,PS3,Square Enix,8.1,0.73,0.28,0.15,0.22,0.07,2010.0
3251,katamari damacy,Puzzle,E,PS2,Namco,8.5,0.73,0.47,0.02,0.17,0.08,2004.0
3263,monster hunter generations ultimate,Action,T,NS,Capcom,7.7,0.72,0.27,0.14,0.27,0.04,2018.0
3277,kirby canvas curse,Platform,E,DS,Nintendo,8.9,0.72,0.36,0.0,0.32,0.03,2005.0
3286,blur,Racing,E10,PS3,Activision,8.3,0.72,0.22,0.37,0.02,0.12,2010.0
3292,f1 2011,Racing,E,X360,Codemasters,8.5,0.72,0.11,0.5,0.01,0.09,2011.0
3301,dirt 3,Racing,T,X360,Codemasters,9.1,0.71,0.23,0.4,0.01,0.07,2011.0
3307,astro bot rescue mission,Platform,E10,PS4,Sony Interactive Entertainment,8.5,0.71,0.22,0.36,0.02,0.11,2018.0
3315,yu gi oh the falsebound kingdom,Strategy,E,GC,Konami,4.4,0.71,0.49,0.13,0.07,0.02,2003.0
3316,the lego movie videogame,Action Adventure,E10,PS4,Warner Bros. Interactive Entertainment,6.0,0.71,0.26,0.32,0.01,0.11,2014.0
3321,blast corps,Action,E,N64,Nintendo,9.1,0.71,0.39,0.09,0.17,0.06,1997.0
3336,catherine,Puzzle,M,PS3,Atlus,7.9,0.71,0.3,0.15,0.2,0.06,2011.0
3339,plants vs zombies garden warfare,Shooter,E10,XOne,Electronic Arts,7.6,0.71,0.39,0.25,0.0,0.06,2014.0
3347,ace attorney investigations miles edgeworth,Adventure,T,DS,Capcom,7.7,0.7,0.23,0.14,0.3,0.04,2010.0
3361,infinite undiscovery,Role Playing,T,X360,Square Enix,6.8,0.7,0.34,0.18,0.12,0.06,2008.0
3369,chocobos dungeon 2,Role Playing,E,PS,Square EA,6.2,0.7,0.04,0.03,0.58,0.05,1999.0
3374,ape escape on the loose,Platform,E,PSP,Sony Computer Entertainment,6.6,0.7,0.52,0.01,0.12,0.05,2005.0
3378,james bond 007 blood stone,Action,T,PS3,Activision,6.2,0.7,0.18,0.37,0.02,0.12,2010.0
3385,monster hunter stories,Role Playing,E10,3DS,Capcom,8.1,0.7,0.14,0.15,0.39,0.03,2017.0
3388,driver san francisco,Racing,T,X360,Ubisoft,8.1,0.7,0.25,0.37,0.0,0.07,2011.0
3389,classic nes series zelda ii the adventure of link,Adventure,E,GBA,Nintendo,6.6,0.7,0.37,0.14,0.17,0.01,2004.0
3396,metal gear solid portable ops plus,Action,T,PSP,Konami,6.9,0.69,0.26,0.01,0.26,0.17,2007.0
3404,the evil within,Misc,M,XOne,Bethesda Softworks,7.9,0.69,0.36,0.27,0.0,0.06,2014.0
3406,the sly collection,Platform,E10,PS3,Sony Computer Entertainment,8.7,0.69,0.52,0.08,0.01,0.08,2010.0
3413,fortnite,Shooter,T,NS,Warner Bros. Interactive Entertainment,8.5,0.69,0.38,0.24,0.01,0.06,2018.0
3425,mario party the top 100,Misc,E,3DS,Nintendo,5.0,0.69,0.23,0.17,0.24,0.04,2017.0
3432,test drive unlimited 2,Racing,T,X360,Atari,6.8,0.68,0.3,0.32,0.0,0.06,2011.0
3433,hot shots golf open tee 2,Sports,E,PSP,Sony Computer Entertainment,8.0,0.68,0.21,0.11,0.28,0.08,2008.0
3436,rayman legends,Platform,E10,WiiU,Ubisoft,9.5,0.68,0.25,0.35,0.03,0.05,2013.0
3437,the last remnant,Role Playing,M,X360,Square Enix,6.5,0.68,0.25,0.2,0.18,0.06,2008.0
3451,bushido blade 2,Fighting,T,PS,Square EA,7.5,0.68,0.25,0.17,0.22,0.04,1998.0
3452,suikoden ii,Role Playing,T,PS,Konami,8.5,0.68,0.15,0.1,0.38,0.04,1999.0
3459,.hack,Role Playing,T,PS2,Bandai,7.5,0.68,0.23,0.18,0.2,0.06,2003.0
3467,spider man 3,Platform,T,PS3,Activision,6.6,0.67,0.26,0.29,0.02,0.11,2007.0
3479,diablo iii eternal collection,Action,M,NS,Blizzard Entertainment,9.0,0.67,0.38,0.22,0.01,0.06,2018.0
3489,wild arms 2,Role Playing,E,PS,Sony Computer Entertainment,6.5,0.67,0.19,0.13,0.31,0.04,2000.0
3505,final fantasy crystal chronicles ring of fates,Role Playing,E10,DS,Square Enix,7.7,0.66,0.22,0.01,0.42,0.02,2008.0
3520,2014 fifa world cup brazil,Sports,E,PS3,EA Sports,7.9,0.66,0.15,0.4,0.01,0.1,2014.0
3525,castlevania lords of shadow,Action,M,X360,Konami,7.9,0.66,0.42,0.17,0.01,0.05,2010.0
3549,fist of the north star kens rage,Action,M,PS3,Tecmo Koei,4.8,0.66,0.06,0.03,0.55,0.01,2010.0
3554,suikoden iv,Role Playing,T,PS2,Konami,6.3,0.66,0.17,0.13,0.3,0.05,2005.0
3555,gods eater burst,Action,T,PSP,D3 Publisher,7.1,0.66,0.03,0.0,0.62,0.0,2011.0
3562,shaun white snowboarding,Sports,T,PS3,Ubisoft,6.0,0.66,0.31,0.24,0.01,0.1,2008.0
3567,dead or alive 5,Fighting,M,PS3,Tecmo Koei,7.6,0.65,0.23,0.15,0.21,0.07,2015.0
3569,radiata stories,Role Playing,T,PS2,Square Enix,7.7,0.65,0.18,0.14,0.29,0.05,2005.0
3574,f zero gx,Racing,T,GC,Nintendo,8.4,0.65,0.41,0.11,0.12,0.02,2003.0
3592,007 quantum of solace,Shooter,T,Wii,Activision,5.6,0.65,0.29,0.28,0.01,0.07,2008.0
3606,lego city undercover,Platform,E10,NS,Warner Bros. Interactive Entertainment,8.0,0.65,0.23,0.33,0.03,0.05,2017.0
3607,star ocean first departure,Role Playing,T,PSP,Square Enix,7.5,0.65,0.2,0.14,0.22,0.09,2008.0
3617,shin megami tensei persona 3 portable,Role Playing,M,PSP,Atlus,8.9,0.64,0.18,0.07,0.34,0.05,2010.0
3621,sengoku basara samurai heroes,Action,T,PS3,Capcom,6.1,0.64,0.17,0.04,0.4,0.02,2010.0
3624,new play control pikmin,Strategy,E,Wii,Nintendo,7.7,0.64,0.28,0.13,0.19,0.04,2009.0
3626,dragon ball raging blast 2,Fighting,T,X360,Namco Bandai,6.0,0.64,0.49,0.09,0.01,0.05,2010.0
3632,castlevania,Platform,T,N64,Konami,7.6,0.64,0.44,0.1,0.04,0.05,1999.0
3637,dead island riptide,Action,M,PS3,Deep Silver,6.6,0.64,0.26,0.21,0.07,0.1,2013.0
3650,lost planet extreme condition,Shooter,T,PS3,Capcom,6.3,0.64,0.31,0.17,0.07,0.08,2008.0
3659,white knight chronicles ii,Role Playing,T,PS3,D3 Publisher,5.4,0.63,0.23,0.09,0.27,0.04,2011.0
3677,lego the incredibles,Action,E10,NS,Warner Bros. Interactive Entertainment,6.5,0.63,0.35,0.21,0.01,0.06,2018.0
3692,ape escape 2,Platform,E,PS2,Ubisoft,8.0,0.63,0.12,0.09,0.38,0.03,2003.0
3695,shin megami tensei persona 3 fes,Role Playing,M,PS2,Atlus,8.7,0.63,0.22,0.2,0.16,0.05,2008.0
3699,okami,Adventure,T,PS2,Capcom,9.4,0.63,0.11,0.03,0.15,0.34,2006.0
3703,tony hawks project 8,Sports,T,PS3,Activision,7.9,0.63,0.3,0.23,0.01,0.1,2006.0
3705,nier,Role Playing,M,PS3,Square Enix,6.6,0.63,0.17,0.19,0.2,0.07,2010.0
3708,test drive unlimited 2,Racing,T,PS3,Atari,6.9,0.63,0.16,0.35,0.01,0.11,2011.0
3719,wild arms 3,Role Playing,T,PS2,Sony Computer Entertainment,7.6,0.62,0.16,0.13,0.29,0.04,2002.0
3725,donkey kong barrel blast,Racing,E,Wii,Nintendo,4.8,0.62,0.19,0.26,0.11,0.06,2007.0
